,fuzzy_cluster_0,fuzzy_cluster_1,fuzzy_cluster_2,fuzzy_cluster_3,fuzzy_cluster_4,fuzzy_cluster_5,fuzzy_cluster_6,fuzzy_cluster_7,fuzzy_cluster_8,fuzzy_cluster_9,fuzzy_cluster_10,fuzzy_cluster_11,fuzzy_cluster_12,fuzzy_cluster_13,fuzzy_cluster_14,fuzzy_cluster_15,fuzzy_cluster_16,fuzzy_cluster_17,fuzzy_cluster_18,fuzzy_cluster_19,fuzzy_cluster_20,fuzzy_cluster_21,fuzzy_cluster_22,fuzzy_cluster_23,fuzzy_cluster_24,fuzzy_cluster_25,fuzzy_cluster_26,fuzzy_cluster_27,fuzzy_cluster_28,fuzzy_cluster_29,dominant_cluster,dominant_score
Bordeaux,0.033465473444372416,0.03313630469832501,0.03344736573879982,0.03318701623457137,0.03344377596057562,0.03322372141336642,0.033496988963891736,0.03323997805975752,0.03357466422794656,0.03336376957551436,0.033154198756490144,0.03342724804267447,0.03317466617087413,0.033312411153612435,0.033507451604069885,0.03328189305281748,0.03335395333052125,0.03346321532203547,0.03325339999600685,0.033448853150851415,0.033214141625764804,0.033172595294983634,0.03344993758158566,0.033390633181912224,0.033234042790076405,0.033517208523749065,0.0330521314845751,0.0333437370998733,0.03330718953933582,0.03336203398106965,8,0.0336
Bucharest,0.03397419780873652,0.032419655697981824,0.0338664434749747,0.03263058957171838,0.033820810993749464,0.0328154634646911,0.034130924905772395,0.03290614329047463,0.03460674293201032,0.03348452780529355,0.032454097303270334,0.03377741522010072,0.03255950120104727,0.03319780648234776,0.034219951284037035,0.0330989150505036,0.03334546365420323,0.033979053246092905,0.03294034989344448,0.03396672899641932,0.032702120133522694,0.032564176447416056,0.03386876845488482,0.033590707081892726,0.03283883713953682,0.03420963999249497,0.03205579139194417,0.03333233518782282,0.033223007509116345,0.03341983438449911,8,0.0346
Budapest,0.0340506501290537,0.032320647704491494,0.033927067652342595,0.032548063863177004,0.033879415156224425,0.03274877403091184,0.0342334144729897,0.03284482902079939,0.034780254337469375,0.0334867578859652,0.032362695499673695,0.03382562419866616,0.03247485954918859,0.033176027468589275,0.034328212963103656,0.033058091717092904,0.03334428458268383,0.03405124204470343,0.03288729304848993,0.03403000308277152,0.03263498781434148,0.03247878868744339,0.03393212074892134,0.03361489124109863,0.03277732747532376,0.03432592502914083,0.03193102007215884,0.03332569457087862,0.03319603073055609,0.03342500522174933,8,0.0348
Buenos_Aires,0.033648701037458165,0.032879867066129186,0.03359669481263779,0.03298698590119378,0.033572649106600086,0.03307908180646923,0.03372488489611672,0.03312613477247345,0.03396002901873552,0.03341343316008427,0.03289697246773539,0.03355246059682527,0.03295022513638086,0.033265863576570555,0.033772565796680094,0.033221332425374846,0.03333703082175945,0.033654314941029384,0.033140445393701416,0.03365079206166635,0.03301812270493034,0.03295161470616378,0.03359669835882988,0.033460270253947266,0.03309015582025233,0.033763095883223515,0.03269797153945163,0.033333021967632916,0.03328231848177779,0.03337626548816878,8,0.034
Cartagena,0.03285246457656681,0.0340198171221423,0.03293266662082425,0.03386382704730105,0.032959171740381155,0.033722921639508206,0.03273412863168718,0.0336604182559025,0.0324026080609037,0.033230070611324894,0.033988219056014866,0.03299658962226396,0.03391042803795923,0.033423371383939963,0.032683746438362526,0.03351348833237652,0.033308643378601815,0.03285895531531709,0.033625346362287256,0.032876974520372644,0.033791322735415734,0.03390602506406341,0.03292680339963543,0.03313239526492404,0.03370050018171047,0.032675770444658234,0.034302134500613216,0.03332479618882046,0.03341858294753713,0.03325781251858391,26,0.0343
Chamonix,0.03316103259591009,0.03358052202826016,0.03318963638728761,0.033523180884003814,0.033203798219218844,0.03347087469429466,0.033119965384333434,0.03344345846169135,0.032991486920443965,0.033289114674797234,0.033575567251863295,0.03321222739749476,0.03354516342495234,0.03336892622958834,0.033093941816702964,0.03339200724261414,0.033332519897683564,0.033158786874708523,0.03343752106112409,0.033156687748865224,0.03350866918613443,0.03354153170501977,0.033189943143521555,0.033262008348336584,0.03346619678285959,0.03310055318024499,0.03368272216284116,0.033333478541395636,0.03335768932915006,0.03331078842465774,26,0.0337
Chiang_Mai,0.03295363618323717,0.03387249758126029,0.03301738217885659,0.033748731730357126,0.033037721012127395,0.03364624437613596,0.03285604766118776,0.033599904785978685,0.032578465325715136,0.03325551855360876,0.03383884181575383,0.03307350600935098,0.033782592375589456,0.03341455102938521,0.03281180536809915,0.033485161376814496,0.033317110856287094,0.03295530892915276,0.033570727810252214,0.032978068053278686,0.03369174839264375,0.03378583044847178,0.03301275078871824,0.03318463428535485,0.03362632086824154,0.0328037668532236,0.03407678685093529,0.033332571281500536,0.03341343048671418,0.03327833673176732,26,0.0341
Da_Nang,0.03322801399968905,0.03348367188257342,0.033245761462293674,0.033450821332309214,0.03325254497104606,0.033417028196923354,0.03320284611809976,0.03340177799439584,0.03313151692073276,0.03330945979288393,0.03348090605007506,0.033258078238075854,0.033462052022531996,0.03335134088830357,0.033191719269302394,0.03336953030580718,0.033329856606248834,0.033229769870287175,0.033395601745499694,0.03322955178071203,0.03343678387926582,0.033458704037557935,0.0332448245126407,0.033286997696615216,0.0334132501766814,0.03319212012575129,0.033549683202127215,0.033331195521404046,0.03334769581808343,0.03331689558208224,26,0.0335
Dakhla,0.033128648979928316,0.033626242382861334,0.033162765155884344,0.03356126279419664,0.033175297150013605,0.033496528006811736,0.03307978568185237,0.033467475747587,0.03294244143853441,0.033287163874448786,0.03361901745230162,0.03318728095684464,0.03358291086367632,0.03336814697127331,0.033058739898021626,0.03340467663977775,0.03332433807165421,0.033132217958935596,0.0334546128079608,0.03313383318593378,0.03353264549439934,0.033577173022624245,0.033160719553242,0.03324355925365034,0.03348857701460014,0.033058065977479116,0.03375446133511474,0.03332830229745238,0.03336257827730688,0.03330053175563273,26,0.0338
Dubai,0.03325138057767616,0.03344589759836719,0.033265817878991306,0.03341884690947739,0.03326901523396517,0.033405934007690145,0.033226457383063554,0.03339980174789975,0.03315196107880589,0.03332186955758558,0.0334301369608668,0.03328327492908566,0.033423514171939235,0.03335991197029354,0.03321407826171034,0.03337654428156655,0.03333059201348162,0.033249717532108106,0.03339115567050177,0.03326428535844992,0.033405273005826,0.033430141066824244,0.03326438945841269,0.03331091779907993,0.03339962671971828,0.03320868489456589,0.03347215279359968,0.03333844189710599,0.033364271977714494,0.03332590726362718,26,0.0335
